Epoch,Model,Train Loss,Validation Loss
1,Byteplot,0.2913372728811658,10.646209239959717
2,Byteplot,0.07990559022468717,7.189937114715576
3,Byteplot,0.12784615102345528,0.38969073817133904
4,Byteplot,0.056695588337986366,0.14235622622072697
5,Byteplot,0.04138584797392073,0.10925306331773754
6,Byteplot,0.02419223562490357,0.04420553642557934
7,Byteplot,0.01566320269510312,0.02962447004392743
8,Byteplot,0.009178232097917276,0.031152685172855854
9,Byteplot,0.011660167431134892,0.024054300476564094
10,Byteplot,0.00782658954900082,0.03546665544854477
1,Markov,0.1953975568201555,2.1032296419143677
2,Markov,0.048064669725768595,2.7033843994140625
3,Markov,0.02923307823948562,2.835020899772644
4,Markov,0.021707521997640193,3.299744665622711
5,Markov,0.01882171260861113,20.68308162689209
6,Markov,0.04064634977839887,3.8631993532180786
7,Markov,0.012064648536540082,0.2232318357564509
8,Markov,0.01317518851378143,0.0009507594077149406
9,Markov,0.015798003415313913,0.013713510823436081
10,Markov,0.015689756105807053,0.16908710822463036
1,Simhash,0.14032655517044273,0.286358401102234
2,Simhash,0.05343586653875916,0.38830924274863854
3,Simhash,0.03647956534531777,0.044984357503381034
4,Simhash,0.02774324740407199,0.2247600252740085
5,Simhash,0.01758588420773816,0.02755852512200363
6,Simhash,0.02937632540630622,0.02375850560821391
7,Simhash,0.019715757733059076,0.025120815029367805
8,Simhash,0.017039207663559784,0.026383215823443606
9,Simhash,0.01932321269328974,0.02439796837279573
10,Simhash,0.016384317595625558,0.021993888411088847
1,SFC_Gray,0.26581012728907494,0.853666365146637
2,SFC_Gray,0.08008936300630802,0.10276500100735575
3,SFC_Gray,0.1063128740972151,0.2500599338527536
4,SFC_Gray,0.17126195323046134,0.15435574622824788
5,SFC_Gray,0.0525750400012602,0.16256964392960072
6,SFC_Gray,0.035949349565350494,0.04127822956070304
7,SFC_Gray,0.02218511850957799,0.046136634424328804
8,SFC_Gray,0.01678145342789914,0.021374694304540753
9,SFC_Gray,0.01766883115709314,0.03515088587300852
10,SFC_Gray,0.013509626935600587,0.023725747014395893
1,SFC_Hilbert,0.19551928507407074,17.0416259765625
2,SFC_Hilbert,0.17403962965244832,1.3077725619077682
3,SFC_Hilbert,0.06130882871397973,0.16832035360857844
4,SFC_Hilbert,0.07227943499532083,0.2866274267435074
5,SFC_Hilbert,0.04538148076718916,0.17379452707245946
6,SFC_Hilbert,0.029486027930903692,0.014193990878993645
7,SFC_Hilbert,0.01280009536244704,0.012728453410090879
8,SFC_Hilbert,0.008310101070927212,0.012672371813096106
9,SFC_Hilbert,0.007658661773387828,0.046757350355619565
10,SFC_Hilbert,0.003096563110138168,0.009973185857234057
1,SFC_Zorder,0.2213805204500323,2.7875395715236664
2,SFC_Zorder,0.07109196030575296,1.7466116845607758
3,SFC_Zorder,0.04396186847146094,1.5509041249752045
4,SFC_Zorder,0.237139243916001,5.631637334823608
5,SFC_Zorder,0.15021455547083978,0.4656124785542488
6,SFC_Zorder,0.11851919158969236,0.1416289247572422
7,SFC_Zorder,0.08776821914817327,0.06553742662072182
8,SFC_Zorder,0.08290870088840956,0.050466705462895334
9,SFC_Zorder,0.05635537982553891,0.051924317609518766
10,SFC_Zorder,0.030200456593023693,0.030553151707863435
